Country,iso_n3,category,Size
Indonesia,360,Physics,0
Iran,364,Chemistry,0
Iran,364,Economics,0
Iran,364,Literature,1
Iran,364,Medicine,0
Iran,364,Peace,1
Iran,364,Physics,0
Ireland,372,Chemistry,0
Ireland,372,Economics,0
Ireland,372,Literature,3
Ireland,372,Medicine,1
Ireland,372,Peace,0
Ireland,372,Physics,1
Israel,376,Chemistry,4
Israel,376,Economics,1
Israel,376,Literature,0
Israel,376,Medicine,0
Israel,376,Peace,1
Israel,376,Physics,0
Italy,380,Chemistry,1
Italy,380,Economics,1
Italy,380,Literature,6
Italy,380,Medicine,6
Italy,380,Peace,1
Italy,380,Physics,5
Japan,392,Chemistry,7
Japan,392,Economics,0
Japan,392,Literature,2
Japan,392,Medicine,5
Japan,392,Peace,1
Japan,392,Physics,14
Kenya,404,Chemistry,0
Kenya,404,Economics,0
Kenya,404,Literature,0
Kenya,404,Medicine,0
Kenya,404,Peace,1
Kenya,404,Physics,0
Korea,410,Chemistry,1
Korea,410,Economics,0
Korea,410,Literature,0
Korea,410,Medicine,0
Korea,410,Peace,1
Korea,410,Physics,0
Latvia,428,Chemistry,1
Latvia,428,Economics,0
Latvia,428,Literature,0
Latvia,428,Medicine,0
Latvia,428,Peace,0
Latvia,428,Physics,0
Liberia,430,Chemistry,0
Liberia,430,Economics,0
Liberia,430,Literature,0
Liberia,430,Medicine,0
Liberia,430,Peace,2
Liberia,430,Physics,0
Lithuania,440,Chemistry,1
Lithuania,440,Economics,0
Lithuania,440,Literature,1
Lithuania,440,Medicine,1
Lithuania,440,Peace,0
Lithuania,440,Physics,0
Luxembourg,442,Chemistry,0
Luxembourg,442,Economics,0
Luxembourg,442,Literature,0
Luxembourg,442,Medicine,1
Luxembourg,442,Peace,0
Luxembourg,442,Physics,1
Macedonia,807,Chemistry,0
Macedonia,807,Economics,0
Macedonia,807,Literature,0
Macedonia,807,Medicine,0
Macedonia,807,Peace,1
Macedonia,807,Physics,0
Madagascar,450,Chemistry,0
Madagascar,450,Economics,0
Madagascar,450,Literature,1
Madagascar,450,Medicine,0
Madagascar,450,Peace,0
Madagascar,450,Physics,0
Mexico,484,Chemistry,1
Mexico,484,Economics,0
Mexico,484,Literature,1
Mexico,484,Medicine,0
Mexico,484,Peace,1
Mexico,484,Physics,0
Morocco,504,Chemistry,0
Morocco,504,Economics,0
Morocco,504,Literature,0
Morocco,504,Medicine,0
Morocco,504,Peace,0
Morocco,504,Physics,2
Myanmar,104,Chemistry,0
Myanmar,104,Economics,0
Myanmar,104,Literature,0
Myanmar,104,Medicine,0
Myanmar,104,Peace,1
Myanmar,104,Physics,0
Netherlands,528,Chemistry,5
Netherlands,528,Economics,2
Netherlands,528,Literature,0
Netherlands,528,Medicine,2
Netherlands,528,Peace,1
Netherlands,528,Physics,9
New Zealand,554,Chemistry,2
New Zealand,554,Economics,0
New Zealand,554,Literature,0
New Zealand,554,Medicine,1
New Zealand,554,Peace,0
New Zealand,554,Physics,0
Nigeria,566,Chemistry,0
Nigeria,566,Economics,0
Nigeria,566,Literature,1
Nigeria,566,Medicine,0
Nigeria,566,Peace,0
Nigeria,566,Physics,0
Norway,578,Chemistry,2
Norway,578,Economics,4
Norway,578,Literature,2
Norway,578,Medicine,2
Norway,578,Peace,2
Norway,578,Physics,1
Pakistan,586,Chemistry,0
Pakistan,586,Economics,0
Pakistan,586,Literature,0
Pakistan,586,Medicine,0
Pakistan,586,Peace,1
Pakistan,586,Physics,3
Peru,604,Chemistry,0
Peru,604,Economics,0
Peru,604,Literature,1
Peru,604,Medicine,0
Peru,604,Peace,0
Peru,604,Physics,0
Poland,616,Chemistry,5
Poland,616,Economics,1
Poland,616,Literature,5
Poland,616,Medicine,8
Poland,616,Peace,2
Poland,616,Physics,9
Portugal,620,Chemistry,0
Portugal,620,Economics,0
Portugal,620,Literature,1
Portugal,620,Medicine,2
Portugal,620,Peace,0
Portugal,620,Physics,0
Romania,642,Chemistry,2
Romania,642,Economics,0
Romania,642,Literature,1
Romania,642,Medicine,1
Romania,642,Peace,1
Romania,642,Physics,0
Russia,643,Chemistry,5
Russia,643,Economics,3
Russia,643,Literature,5
Russia,643,Medicine,3
Russia,643,Peace,2
Russia,643,Physics,12
Saint Lucia,662,Chemistry,0
Saint Lucia,662,Economics,1
Saint Lucia,662,Literature,1
Saint Lucia,662,Medicine,0
Saint Lucia,662,Peace,0
Saint Lucia,662,Physics,0
Slovakia,703,Chemistry,0
Slovakia,703,Economics,0
Slovakia,703,Literature,0
Slovakia,703,Medicine,0
Slovakia,703,Peace,0
Slovakia,703,Physics,1
Slovenia,705,Chemistry,1
Slovenia,705,Economics,0
Slovenia,705,Literature,0
Slovenia,705,Medicine,0
Slovenia,705,Peace,0
Slovenia,705,Physics,0
South Africa,710,Chemistry,1
South Africa,710,Economics,0
South Africa,710,Literature,2
South Africa,710,Medicine,3
South Africa,710,Peace,3
South Africa,710,Physics,0
Spain,724,Chemistry,0
Spain,724,Economics,0
Spain,724,Literature,5
Spain,724,Medicine,2
Spain,724,Peace,0
Spain,724,Physics,0
Sweden,752,Chemistry,5
Sweden,752,Economics,2
Sweden,752,Literature,7
Sweden,752,Medicine,7
Sweden,752,Peace,5
Sweden,752,Physics,4
Switzerland,756,Chemistry,3
Switzerland,756,Economics,0
Switzerland,756,Literature,1
Switzerland,756,Medicine,6
Switzerland,756,Peace,3
Switzerland,756,Physics,4
Taiwan,158,Chemistry,1
Taiwan,158,Economics,0
Taiwan,158,Literature,0
Taiwan,158,Medicine,0
Taiwan,158,Peace,0
Taiwan,158,Physics,0
Timor-Leste,626,Chemistry,0
Timor-Leste,626,Economics,0
Timor-Leste,626,Literature,0
Timor-Leste,626,Medicine,0
Timor-Leste,626,Peace,2
Timor-Leste,626,Physics,0
Trinidad and Tobago,780,Chemistry,0
Trinidad and Tobago,780,Economics,0
Trinidad and Tobago,780,Literature,1
Trinidad and Tobago,780,Medicine,0
Trinidad and Tobago,780,Peace,0
Trinidad and Tobago,780,Physics,0
Turkey,792,Chemistry,1
Turkey,792,Economics,0
Turkey,792,Literature,2
Turkey,792,Medicine,0
Turkey,792,Peace,0
Turkey,792,Physics,0
Ukraine,804,Chemistry,1
Ukraine,804,Economics,0
Ukraine,804,Literature,2
Ukraine,804,Medicine,2
Ukraine,804,Peace,0
Ukraine,804,Physics,0
United Kingdom,826,Chemistry,24
United Kingdom,826,Economics,8
United Kingdom,826,Literature,7
United Kingdom,826,Medicine,29
United Kingdom,826,Peace,11
United Kingdom,826,Physics,23
United States,840,Chemistry,57
United States,840,Economics,47
United States,840,Literature,9
United States,840,Medicine,74
United States,840,Peace,19
United States,840,Physics,70
Venezuela,862,Chemistry,0
Venezuela,862,Economics,0
Venezuela,862,Literature,0
Venezuela,862,Medicine,1
Venezuela,862,Peace,0
Venezuela,862,Physics,0
Vietnam,704,Chemistry,0
Vietnam,704,Economics,0
Vietnam,704,Literature,0
Vietnam,704,Medicine,0
Vietnam,704,Peace,1
Vietnam,704,Physics,0
Yemen,887,Chemistry,0
Yemen,887,Economics,0
Yemen,887,Literature,0
Yemen,887,Medicine,0
Yemen,887,Peace,1
Yemen,887,Physics,0
Zimbabwe,716,Chemistry,0
Zimbabwe,716,Economics,0
Zimbabwe,716,Literature,0
Zimbabwe,716,Medicine,0
Zimbabwe,716,Peace,1
Zimbabwe,716,Physics,0
